;Job Title;min_salary;max_salary;Rating;Company Name;python;excel;hadoop;spark;aws;tableau;big_data
83;Data Science Manager, Payment Acceptance - USA;79;131;4.0;Stripe;1;0;0;0;0;0;0
84;Data Analyst;79;131;2.6;Comprehensive Healthcare;0;0;0;0;0;0;0
85;Data Scientist / Applied Mathematician;79;131;4.5;Fullpower Technologies, Inc.;1;0;0;0;1;0;1
86;Machine Learning Engineer;79;131;4.8;Klaviyo;1;0;0;0;0;0;0
87;Data Scientist;79;131;3.9;Mars;1;0;0;1;1;0;0
88;Patient Safety- Associate Data Scientist;79;131;4.0;AstraZeneca;1;1;0;0;0;0;0
89;Machine Learning Engineer;79;131;4.4;NuWave Solutions;1;0;1;1;1;0;0
90;Senior Data Scientist;79;131;4.2;ManTech;1;0;1;1;0;1;1
91;Data Scientist;99;132;3.4;Mathematica Policy Research;1;1;0;0;1;0;0
92;Staff Data Scientist - Analytics;99;132;4.4;Intuit - Data;0;0;0;0;0;0;0
93;Data Analytics Engineer;99;132;3.5;QOMPLX;1;0;0;1;0;0;0
94;Data Scientist, Kinship - NYC/Portland;99;132;3.9;Mars;1;0;0;1;0;0;0
95;Senior Data Scientist;99;132;3.8;GutCheck;0;0;0;0;0;0;0
96;Applied Technology Researcher / Data Scientist;99;132;3.5;Inter-American Development Bank;0;1;0;0;0;1;0
97;Machine Learning Engineer;99;132;4.4;Stratagem Group;1;1;1;1;1;0;0
98;Health Data Scientist - Biomedical/Biostats;99;132;4.1;Evidation;1;0;0;0;0;0;0
99;Senior Data Scientist;99;132;4.0;Autodesk;1;0;1;1;0;0;1
100;Staff Data Scientist;99;132;4.4;Intuit - Data;0;0;0;0;0;0;0
101;DATA SCIENTIST;99;132;3.8;Tecolote Research;1;1;0;0;0;1;0
102;Sr Data Engineer (Sr BI Developer);99;132;3.2;Tivity Health;0;0;1;0;0;0;1
103;Data Engineer;99;132;2.9;hc1;1;0;0;0;1;0;0
104;Lead Data Scientist;99;132;4.1;HP Inc.;1;1;1;0;1;0;1
105;Data Scientist;99;132;3.7;SAIC;1;0;0;0;0;0;0
106;RFP Data Analyst;99;132;3.2;AllianceBernstein;0;1;0;1;0;0;0
107;Data Analyst;99;132;4.9;Big Huge Games;0;1;0;0;0;1;0
108;Data Scientist (TS/SCI);99;132;3.5;Maxar Technologies;1;0;0;0;0;0;1
109;Data Engineer;99;132;5.0;Phantom AI;1;0;0;0;0;0;0
110;Data Scientist;99;132;4.0;Noblis;1;0;1;1;1;1;0
111;Data Scientist;99;132;3.6;Spring Health;1;1;0;0;0;0;0
112;Software Engineer - Data Science;99;132;4.0;ClearEdge;1;1;1;1;0;0;1
113;Data Analyst/Engineer;99;132;3.2;AllianceBernstein;1;1;0;0;0;0;0
114;NGS Scientist;99;132;5.0;Arsenal Biosciences;0;1;0;0;0;0;0
115;Data Engineer;99;132;4.8;GetWellNetwork;1;0;0;0;0;0;0
116;Data Scientist;99;132;4.5;TACG Solutions;1;1;0;0;0;1;0
117;Senior Data Engineer;99;132;-1.0;Scoop;1;0;0;1;0;0;0
118;Senior Data Scientist;99;132;4.5;Novetta;1;1;0;0;1;0;0
119;Data Engineer;99;132;4.2;IZEA;1;1;1;1;1;0;0
120;Business Intelligence Analyst;99;132;3.4;Montway Inc;1;1;0;0;0;1;0
